title	lnbr	line	enca_position	enca_type	rule_ids
Agustini,_Delmira__321~~Amor__1057_annot	1	{Yo Q} {lo Q} {soñé V} {impetuoso G} {, O} {formidable G} {y C} {ardiente A} {; O}	O	""	""
Agustini,_Delmira__321~~Amor__1057_annot	2	{hablaba V} {el D} {impreciso G} {leguaje N} {del P} {torrente N} {; O}	O	""	""
Agustini,_Delmira__321~~Amor__1057_annot	3	{era V} {un D} {mar N} {desbordado G} {de P} {locura N} {y C} {de P} {fuego N} {, O}	O	""	""
Agustini,_Delmira__321~~Amor__1057_annot	4	{rodando V} {por P} {la D} {vida N} {como C} {un D} {eterno G} {riego N} {. O}	O	""	""
Agustini,_Delmira__321~~Amor__1057_annot	5	{Luego A} {soñélo V} {triste G} {, O} {como C} {un D} {gran G} {sol N} {poniente G}	B	"oracional"	"cp01"
Agustini,_Delmira__321~~Amor__1057_annot	6	{que Q} {dobla V} {ante P} {la D} {noche N} {la D} {cabeza N} {de P} {fuego N} {; O}	I	"oracional"	"cp01"
Agustini,_Delmira__321~~Amor__1057_annot	7	{después A} {rió V} {, O} {y C} {en P} {su D} {boca N} {tan A} {tierna G} {como C} {un D} {ruego N} {, O}	O	""	""
Agustini,_Delmira__321~~Amor__1057_annot	8	{sonaba V} {sus D} {cristales N} {el D} {alma N} {de P} {la D} {fuente N} {. O}	O	""	""
Agustini,_Delmira__321~~Amor__1057_annot	9	{Y C} {hoy A} {sueño N} {que Q} {es V} {vibrante G} {, O} {y C} {suave G} {, O} {y C} {riente A} {, O} {y C} {triste G} {, O}	O	""	""
Agustini,_Delmira__321~~Amor__1057_annot	10	{que Q} {todas D} {las D} {tinieblas N} {y C} {todo D} {el D} {iris N} {viste V} {; O}	O	""	""
Agustini,_Delmira__321~~Amor__1057_annot	11	{que C} {, O} {frágil G} {como C} {un D} {ídolo N} {y C} {eterno G} {como C} {un D} {Dios R} {, O}	O	""	""
Agustini,_Delmira__321~~Amor__1057_annot	12	{sobre P} {la D} {vida N} {toda D} {su D} {majestad N} {levante V} {: O}	O	""	""
Agustini,_Delmira__321~~Amor__1057_annot	13	{y C} {el D} {beso N} {cae V} {ardiente A} {a P} {perfumar V} {su D} {planta N}	O	""	""
